id,label
tsunami_0004,0
tsunami_0011,0
tsunami_0019,0
tsunami_0024,0
tsunami_0026,0
tsunami_0039,0
tsunami_0044,0
tsunami_0043,0
tsunami_0041,0
tsunami_0064,1
tsunami_0054,0
tsunami_0056,0
tsunami_0081,0
tsunami_0079,0
tsunami_0075,0
tsunami_0098,0
tsunami_0101,0
tsunami_0085,0
tsunami_0123,0
tsunami_0107,0
tsunami_0108,0
tsunami_0142,0
tsunami_0131,0
tsunami_0134,0
tsunami_0156,0
tsunami_0159,0
tsunami_0147,0
tsunami_0165,0
tsunami_0171,0
tsunami_0166,0
tsunami_0201,0
tsunami_0196,0
tsunami_0199,0
tsunami_0208,0
tsunami_0215,0
tsunami_0210,0
tsunami_0237,0
tsunami_0241,0
tsunami_0231,0
tsunami_0245,0
tsunami_0246,0
tsunami_0264,0
tsunami_0279,0
tsunami_0273,0
tsunami_0281,0
tsunami_0293,0
tsunami_0303,0
tsunami_0298,0
tsunami_0305,0
tsunami_0307,0
tsunami_0308,0
tsunami_0314,0
tsunami_0310,0
tsunami_0319,0
tsunami_0345,0
tsunami_0344,0
tsunami_0342,1
tsunami_0351,0
tsunami_0353,0
tsunami_0359,0
tsunami_0386,0
tsunami_0384,0
tsunami_0381,0
tsunami_0404,0
tsunami_0399,0
tsunami_0389,0
tsunami_0414,0
tsunami_0410,0
tsunami_0416,0
tsunami_0436,0
tsunami_0445,0
tsunami_0431,0
tsunami_0463,0
tsunami_0462,0
tsunami_0456,0
tsunami_0478,0
tsunami_0469,0
tsunami_0479,0
tsunami_0501,0
tsunami_0499,0
tsunami_0500,0
tsunami_0513,0
tsunami_0510,0
tsunami_0523,0
tsunami_0537,1
tsunami_0534,0
tsunami_0535,0
tsunami_0551,1
tsunami_0550,0
tsunami_0558,0
tsunami_0575,0
tsunami_0574,0
tsunami_0580,0
tsunami_0588,0
tsunami_0587,0
tsunami_0584,0
tsunami_0593,0
tsunami_0603,0
tsunami_0600,0
tsunami_0620,0
tsunami_0626,0
tsunami_0624,0
tsunami_0641,0
tsunami_0647,0
tsunami_0632,0
tsunami_0654,0
tsunami_0657,0
tsunami_0651,0
tsunami_0675,0
tsunami_0687,0
tsunami_0671,0
tsunami_0708,0
tsunami_0697,0
tsunami_0707,1
tsunami_0712,0
tsunami_0718,0
tsunami_0727,0
tsunami_0735,0
tsunami_0736,0
tsunami_0733,0
tsunami_0760,0
tsunami_0770,0
tsunami_0766,0
tsunami_0782,0
tsunami_0781,0
tsunami_0785,0
tsunami_0794,0
tsunami_0804,0
tsunami_0807,0
tsunami_0817,0
tsunami_0820,0
tsunami_0815,0
tsunami_0841,0
tsunami_0850,0
tsunami_0836,0
tsunami_0864,0
tsunami_0867,0
tsunami_0856,0
tsunami_0880,0
tsunami_0882,0
tsunami_0884,0
tsunami_0897,0
tsunami_0896,0
tsunami_0891,0
tsunami_0906,0
tsunami_0902,0
tsunami_0917,0
tsunami_0918,1
tsunami_0927,0
tsunami_0932,0
tsunami_0939,1
tsunami_0952,0
tsunami_0942,0
tsunami_0964,0
tsunami_0961,0
tsunami_0962,0
tsunami_0979,0
tsunami_0981,0
tsunami_0978,0
tsunami_0983,0
tsunami_0984,0
tsunami_0985,0
tsunami_0992,0
tsunami_1005,0
tsunami_0994,0
tsunami_1011,0
tsunami_1017,0
tsunami_1019,0
tsunami_1042,0
tsunami_1026,0
tsunami_1034,0
tsunami_1065,0
tsunami_1047,0
tsunami_1061,0
tsunami_1069,0
tsunami_1077,0
tsunami_1070,0
tsunami_1104,0
tsunami_1105,0
tsunami_1099,0
tsunami_1107,0
tsunami_1120,0
tsunami_1110,0
tsunami_1142,0
tsunami_1134,0
tsunami_1144,0
tsunami_1146,0
tsunami_1151,0
tsunami_1161,0
tsunami_0022,0
tsunami_0894,0
tsunami_1117,0
tsunami_1108,0
tsunami_0536,0
tsunami_0432,0
tsunami_0323,0
tsunami_0364,0
tsunami_0010,0
tsunami_1109,0
tsunami_0752,0
